symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MSFT,2023-03-01 00:00:00+00:00,248.92,249.0,248.92,249.0,1253.0,31.0,248.946632
MSFT,2023-03-01 00:05:00+00:00,248.93,248.93,248.75,248.75,1269.0,45.0,248.851891
MSFT,2023-03-01 00:08:00+00:00,249.0,249.0,249.0,249.0,194.0,8.0,249.066598
MSFT,2023-03-01 00:12:00+00:00,248.77,248.77,248.75,248.75,381.0,6.0,248.758819
MSFT,2023-03-01 00:16:00+00:00,248.75,248.75,248.75,248.75,1089.0,28.0,248.749164
MSFT,2023-03-01 00:17:00+00:00,248.75,248.75,248.75,248.75,3479.0,15.0,248.749606
MSFT,2023-03-01 00:25:00+00:00,248.81,248.81,248.81,248.81,563.0,18.0,248.80325
MSFT,2023-03-01 00:37:00+00:00,248.55,248.55,248.55,248.55,428.0,11.0,248.601285
MSFT,2023-03-01 00:39:00+00:00,248.55,248.55,248.55,248.55,130.0,12.0,248.546385
MSFT,2023-03-01 00:42:00+00:00,248.55,248.65,248.55,248.65,774.0,11.0,248.611137
MSFT,2023-03-01 00:44:00+00:00,248.35,248.35,248.35,248.35,731.0,47.0,248.440465
MSFT,2023-03-01 00:45:00+00:00,248.5,248.5,248.5,248.5,600.0,17.0,248.456383
MSFT,2023-03-01 00:49:00+00:00,248.47,248.47,248.45,248.45,691.0,13.0,248.460593
MSFT,2023-03-01 00:50:00+00:00,248.5,248.5,248.4,248.4,1053.0,26.0,248.423067
MSFT,2023-03-01 00:59:00+00:00,248.8399,248.8399,248.5,248.5,1141.0,14.0,248.675951
MSFT,2023-03-01 09:00:00+00:00,250.78,250.78,250.75,250.75,710.0,28.0,250.719437
MSFT,2023-03-01 09:01:00+00:00,250.95,251.0,250.95,251.0,1047.0,31.0,250.967116
MSFT,2023-03-01 09:02:00+00:00,251.0,251.0,250.99,250.99,1115.0,31.0,251.059291
MSFT,2023-03-01 09:03:00+00:00,251.25,251.25,251.2,251.24,1429.0,48.0,251.265234
MSFT,2023-03-01 09:04:00+00:00,251.48,251.89,251.48,251.51,2399.0,49.0,251.650521
MSFT,2023-03-01 09:05:00+00:00,251.72,251.72,251.72,251.72,294.0,11.0,251.754796
MSFT,2023-03-01 09:11:00+00:00,251.6,251.6,251.6,251.6,303.0,8.0,251.6
MSFT,2023-03-01 09:12:00+00:00,251.53,251.53,251.53,251.53,554.0,14.0,251.563881
MSFT,2023-03-01 09:13:00+00:00,251.65,251.65,251.26,251.27,1218.0,31.0,251.368005
MSFT,2023-03-01 09:16:00+00:00,251.54,251.54,251.54,251.54,424.0,14.0,251.584387
MSFT,2023-03-01 09:19:00+00:00,251.53,251.53,251.53,251.53,242.0,4.0,251.547603
MSFT,2023-03-01 09:20:00+00:00,251.5,251.5,251.5,251.5,244.0,6.0,251.524918
MSFT,2023-03-01 09:21:00+00:00,251.38,251.4,251.38,251.4,588.0,17.0,251.371327
MSFT,2023-03-01 09:25:00+00:00,251.29,251.29,251.29,251.29,472.0,13.0,251.288496
MSFT,2023-03-01 09:28:00+00:00,251.1,251.1,250.99,250.99,614.0,17.0,251.056564
MSFT,2023-03-01 09:30:00+00:00,251.17,251.17,251.17,251.17,536.0,21.0,251.12931
MSFT,2023-03-01 09:32:00+00:00,251.24,251.24,251.24,251.24,502.0,14.0,251.233765
MSFT,2023-03-01 09:33:00+00:00,251.13,251.13,251.13,251.13,542.0,22.0,251.130978
MSFT,2023-03-01 09:34:00+00:00,251.13,251.13,251.13,251.13,1476.0,18.0,251.122873
MSFT,2023-03-01 09:42:00+00:00,251.13,251.13,251.13,251.13,124.0,7.0,251.110081
MSFT,2023-03-01 09:45:00+00:00,250.98,250.98,250.98,250.98,133.0,2.0,250.976992
MSFT,2023-03-01 09:48:00+00:00,250.71,250.71,250.71,250.71,135.0,8.0,250.730148
MSFT,2023-03-01 09:54:00+00:00,250.98,251.0,250.98,251.0,919.0,21.0,250.986627
MSFT,2023-03-01 09:55:00+00:00,251.0,251.0,250.84,250.84,1195.0,18.0,250.974536
