0.000000000000000000e+00,1.000010611406250000e-01
1.000000000000000000e+02,1.003000667619047687e-01
2.000000000000000000e+02,1.005676664117646779e-01
3.000000000000000000e+02,1.009070556285713988e-01
4.000000000000000000e+02,1.011533161935483510e-01
5.000000000000000000e+02,1.014778505000000081e-01
6.000000000000000000e+02,1.017538197380952747e-01
7.000000000000000000e+02,1.020821924318181806e-01
8.000000000000000000e+02,1.028369733333333036e-01
9.000000000000000000e+02,1.026022661250000079e-01
1.000000000000000000e+03,1.026426289285714277e-01
